Date	High	Low	Open	Close	Volume	Adj Close	RSI	sell_signal	buy_signal	Current Position	Current Stock Holding	Current Capital
2016-07-28	1314.78	1288.53	1290.25	1309.62	4632080.00	1188.36	62.73	0	0	1	80	0
2016-07-29	1317.45	1299.50	1307.00	1309.65	2488084.00	1188.39	62.73	0	0	1	80	0
2016-08-01	1362.50	1316.00	1316.00	1354.12	3961704.00	1228.74	70.78	1	0	1	80	0
2016-08-02	1357.85	1344.90	1351.45	1349.60	2578162.00	1224.64	69.15	0	0	0	0	107246
2016-08-03	1349.50	1324.53	1343.00	1328.15	2294702.00	1205.17	61.85	0	0	0	0	107246
2016-08-04	1341.47	1318.12	1335.00	1326.00	1415416.00	1203.22	61.15	0	0	0	0	107246
2016-08-05	1342.15	1316.00	1336.95	1324.55	1868484.00	1201.91	60.65	0	0	0	0	107246
2016-08-08	1334.00	1314.53	1320.00	1324.75	2058244.00	1202.09	60.70	0	0	0	0	107246
2016-08-09	1329.90	1289.43	1329.00	1325.10	2261914.00	1202.41	60.79	0	0	0	0	107246
2016-08-10	1341.00	1324.00	1325.50	1337.70	2062078.00	1213.84	63.96	0	0	0	0	107246
2016-08-11	1357.50	1332.78	1332.78	1354.95	2233138.00	1229.49	67.79	0	0	0	0	107246
2016-08-12	1372.40	1351.03	1352.50	1369.22	2327358.00	1242.44	70.58	1	0	0	0	107246
2016-08-16	1370.00	1336.93	1369.00	1345.85	3183754.00	1221.23	61.23	0	0	0	0	107246
2016-08-17	1349.50	1309.00	1349.50	1312.28	1848566.00	1190.77	50.82	0	0	0	0	107246
2016-08-18	1328.78	1315.05	1317.50	1319.28	1292064.00	1197.12	52.63	0	0	0	0	107246
2016-08-19	1323.22	1300.00	1320.00	1301.75	2416244.00	1181.22	47.88	0	0	0	0	107246
2016-08-22	1297.22	1268.15	1294.00	1274.35	2265274.00	1156.35	41.57	0	0	0	0	107246
2016-08-23	1302.47	1270.10	1272.47	1300.53	1503374.00	1180.11	48.55	0	0	0	0	107246
2016-08-24	1301.00	1284.53	1294.90	1286.03	1116878.00	1166.95	45.32	0	0	0	0	107246
2016-08-25	1294.85	1263.00	1290.00	1275.53	1939690.00	1157.42	43.08	0	0	0	0	107246
2016-08-26	1286.28	1258.60	1279.90	1262.47	1250314.00	1145.58	40.42	0	0	0	0	107246
2016-08-29	1267.47	1233.38	1267.47	1250.28	1488728.00	1134.51	38.04	0	0	0	0	107246
2016-08-30	1274.90	1250.62	1255.00	1272.07	1444026.00	1154.29	44.33	0	0	0	0	107246
2016-08-31	1275.00	1250.43	1275.00	1255.65	3231668.00	1139.39	40.96	0	0	0	0	107246
2016-09-01	1267.47	1243.53	1262.45	1253.75	1345736.00	1137.66	40.57	0	0	0	0	107246
2016-09-02	1259.70	1248.03	1256.00	1257.40	1742330.00	1140.97	41.71	0	0	0	0	107246
2016-09-06	1260.07	1240.00	1259.95	1242.03	2239066.00	1127.02	38.39	0	0	0	0	107246
2016-09-07	1249.85	1211.50	1249.85	1220.28	3854040.00	1107.29	34.24	0	0	0	0	107246
2016-09-08	1180.00	1142.38	1180.00	1161.05	7021516.00	1053.55	26.00	0	1	0	0	107246
2016-09-09	1183.32	1160.03	1164.85	1176.22	2742438.00	1067.31	30.61	0	0	1	91	0
2016-09-12	1181.97	1162.00	1168.50	1179.53	2024454.00	1070.31	31.60	0	0	1	91	0
2016-09-14	1188.80	1155.00	1181.00	1164.22	2069858.00	1056.43	29.49	0	1	1	91	0
2016-09-15	1171.05	1158.38	1169.97	1163.47	2818964.00	1055.75	29.38	0	0	1	91	0
2016-09-16	1188.00	1160.00	1168.35	1180.85	4358004.00	1071.51	35.09	0	0	1	91	0
2016-09-19	1213.50	1175.00	1182.50	1205.72	2802546.00	1094.08	42.28	0	0	1	91	0
2016-09-20	1208.45	1192.70	1205.50	1203.25	1184552.00	1091.84	41.78	0	0	1	91	0
2016-09-21	1212.00	1200.35	1203.85	1206.70	1678020.00	1094.97	42.79	0	0	1	91	0
2016-09-22	1214.00	1185.55	1212.62	1189.00	2857574.00	1078.91	39.06	0	0	1	91	0
2016-09-23	1201.93	1185.57	1191.00	1199.05	1800726.00	1088.03	42.14	0	0	1	91	0
2016-09-26	1209.55	1197.50	1200.55	1200.55	1753476.00	1089.39	42.61	0	0	1	91	0
2016-09-27	1224.00	1200.55	1200.55	1218.05	2038792.00	1105.27	47.90	0	0	1	91	0
2016-09-28	1218.75	1207.60	1215.50	1211.53	1731328.00	1099.35	46.19	0	0	1	91	0
2016-09-29	1228.25	1209.80	1217.50	1218.90	3603958.00	1106.04	48.43	0	0	1	91	0
2016-09-30	1224.90	1211.55	1218.53	1215.40	2175364.00	1102.86	47.42	0	0	1	91	0
2016-10-03	1228.82	1200.55	1225.00	1205.85	1818880.00	1094.20	44.69	0	0	1	91	0
2016-10-04	1212.53	1199.00	1210.00	1202.57	1780718.00	1091.22	43.75	0	0	1	91	0
2016-10-05	1207.70	1188.05	1204.00	1193.18	1176354.00	1082.70	41.10	0	0	1	91	0
2016-10-06	1201.20	1186.38	1197.50	1194.38	2267572.00	1083.78	41.59	0	0	1	91	0
2016-10-07	1194.00	1179.10	1194.00	1183.90	1816512.00	1074.28	38.60	0	0	1	91	0
2016-10-10	1193.45	1177.53	1184.95	1190.15	1202142.00	1079.95	41.31	0	0	1	91	0
2016-10-13	1184.95	1160.45	1181.65	1164.45	5173334.00	1056.63	34.55	0	0	1	91	0
2016-10-14	1193.50	1145.50	1157.50	1183.10	7741214.00	1073.55	41.97	0	0	1	91	0
2016-10-17	1187.90	1172.20	1184.45	1181.22	2728346.00	1071.85	41.46	0	0	1	91	0
2016-10-18	1207.85	1177.40	1188.00	1200.10	2128632.00	1088.98	48.27	0	0	1	91	0
2016-10-19	1205.00	1185.15	1200.50	1197.55	1985058.00	1086.67	47.47	0	0	1	91	0
2016-10-20	1204.68	1193.00	1198.45	1200.57	1265854.00	1089.41	48.56	0	0	1	91	0
2016-10-21	1215.95	1199.12	1200.00	1214.32	1259660.00	1101.89	53.31	0	0	1	91	0
2016-10-24	1217.45	1201.28	1214.10	1213.85	1253190.00	1104.41	53.13	0	0	1	91	0
2016-10-25	1207.30	1190.50	1202.50	1199.22	1772466.00	1091.11	47.71	0	0	1	91	0
2016-10-26	1201.38	1186.25	1199.30	1198.12	1437130.00	1090.10	47.32	0	0	1	91	0
2016-10-27	1214.75	1182.75	1189.85	1209.05	2941602.00	1100.04	51.57	0	0	1	91	0
2016-10-28	1207.55	1194.00	1205.00	1199.35	1752102.00	1091.22	47.88	0	0	1	91	0
2016-11-01	1199.85	1167.07	1199.85	1175.00	2934776.00	1069.06	40.11	0	0	1	91	0
2016-11-02	1172.00	1147.50	1170.50	1152.03	2325076.00	1048.16	34.44	0	0	1	91	0
2016-11-03	1167.50	1142.25	1147.00	1159.72	1463310.00	1055.17	37.62	0	0	1	91	0
2016-11-04	1168.07	1147.00	1160.00	1165.28	1183752.00	1060.22	39.89	0	0	1	91	0
2016-11-07	1172.45	1130.03	1168.95	1138.53	2048052.00	1035.88	33.56	0	0	1	91	0
2016-11-08	1153.50	1130.00	1140.22	1141.60	1933634.00	1038.68	34.84	0	0	1	91	0
2016-11-09	1137.50	1071.43	1090.00	1084.93	4500226.00	987.11	25.21	0	1	1	91	0
2016-11-10	1108.75	1070.40	1102.40	1077.72	2172426.00	980.56	24.29	0	0	1	91	0
2016-11-11	1073.53	1043.10	1073.53	1050.57	2398424.00	955.86	21.15	0	0	1	91	0
2016-11-15	1078.78	1025.95	1058.45	1060.65	6290324.00	965.02	25.02	0	0	1	91	0
2016-11-16	1104.45	1069.00	1072.55	1094.80	4019958.00	996.10	36.40	0	0	1	91	0
2016-11-17	1104.30	1065.07	1092.50	1068.60	2504688.00	972.26	32.34	0	0	1	91	0
2016-11-18	1075.00	1052.10	1071.00	1062.55	2140534.00	966.75	31.47	0	0	1	91	0
2016-11-21	1070.00	1052.50	1063.10	1066.45	1793366.00	970.30	32.73	0	0	1	91	0
2016-11-22	1088.72	1061.03	1066.00	1067.50	1318860.00	971.26	33.09	0	0	1	91	0
2016-11-23	1081.47	1063.60	1074.50	1078.18	1275808.00	980.97	36.76	0	0	1	91	0
2016-11-24	1103.80	1068.50	1077.45	1094.22	3026234.00	995.57	41.91	0	0	1	91	0
2016-11-25	1153.62	1096.10	1106.00	1150.18	4276148.00	1046.48	55.53	0	0	1	91	0
2016-11-28	1159.72	1125.95	1147.00	1141.30	1924296.00	1038.40	53.39	0	0	1	91	0
2016-11-29	1146.00	1126.28	1137.50	1129.93	1442296.00	1028.05	50.70	0	0	1	91	0
2016-11-30	1147.38	1121.15	1132.50	1138.03	3445832.00	1035.42	52.53	0	0	1	91	0
2016-12-01	1145.00	1127.03	1138.50	1131.72	1123052.00	1029.69	50.94	0	0	1	91	0
2016-12-02	1135.40	1102.60	1129.00	1110.93	1998032.00	1010.77	45.99	0	0	1	91	0
2016-12-05	1118.93	1085.00	1114.50	1093.00	2249526.00	994.46	42.19	0	0	1	91	0
2016-12-06	1101.97	1084.95	1095.00	1091.18	1593444.00	992.80	41.81	0	0	1	91	0
2016-12-07	1092.22	1072.82	1091.10	1077.28	2065706.00	980.15	38.94	0	0	1	91	0
2016-12-08	1099.50	1080.00	1080.25	1097.88	3239546.00	998.89	44.97	0	0	1	91	0
2016-12-09	1109.95	1086.65	1102.50	1097.62	1588718.00	998.67	44.91	0	0	1	91	0
